District,Dem,GOP
001 House District,5963,14046
002 House District,7647,11699
003 House District,9869,7958
004 House District,3153,7122
005 House District,6153,13770
006 House District,11399,9393
007 House District,7750,13189
008 House District,6103,6577
009 House District,4273,10838
010 House District,10712,8698
011 House District,9117,9728
012 House District,8059,12711
013 House District,8170,8434
014 House District,7775,13554
015 House District,7973,10597
016 House District,5788,10938
017 House District,6662,14144
018 House District,6188,12023
019 House District,5614,12455
020 House District,8561,6140
021 House District,5495,11852
022 House District,5312,12603
023 House District,7154,11445
024 House District,8972,10563
025 House District,5187,13629
026 House District,6426,11211
027 House District,9056,7763
028 House District,8953,7854
029 House District,10227,12524
030 House District,12678,3833
031 House District,12085,8792
032 House District,10414,10718
033 House District,11291,14146
034 House District,16053,8195
035 House District,10970,6756
036 House District,9886,15368
037 House District,7387,6817
038 House District,7600,7341
039 House District,10839,8572
040 House District,11038,3970
041 House District,11579,3653
042 House District,15896,2320
043 House District,13173,4120
044 House District,11174,6019
045 House District,9991,15375
046 House District,9939,8032
047 House District,6792,11177
048 House District,11304,15097
049 House District,9186,9342
050 House District,7457,13048
051 House District,5933,13173
052 House District,4563,11471
053 House District,6127,16091
054 House District,6245,12607
055 House District,5597,16797
056 House District,12590,8525
057 House District,11173,7861
058 House District,7894,12527
059 House District,7959,14652
060 House District,5414,16293
061 House District,4959,15373
062 House District,9288,12662
063 House District,7006,13862
064 House District,6807,15220
065 House District,6523,6224
066 House District,5298,15336
067 House District,6404,7795
068 House District,6852,16372
069 House District,6039,10997
070 House District,10049,7839
071 House District,4706,8670
072 House District,9668,8154
073 House District,7464,11385
074 House District,8142,10894
075 House District,9816,6116
076 House District,12312,6754
077 House District,11608,3795
078 House District,7562,9035
079 House District,11909,8155
080 House District,5482,11106
081 House District,8980,9056
082 House District,3639,13265
083 House District,4445,14899
084 House District,6012,10278
085 House District,4452,12976
086 House District,4609,11878
087 House District,7224,6804
088 House District,13455,12603
089 House District,5313,12814
090 House District,3193,11233
091 House District,7161,8828
092 House District,7287,7745
093 House District,7363,6968
094 House District,8393,8153
095 House District,8466,9528
096 House District,6760,9353
097 House District,6978,9525
098 House District,8330,9823
099 House District,11143,5741
100 House District,9215,9055
